AdName,Thumb,URL,ThruPlay,Avg Watch Time,3s Video Views,75%,Saves,Shares,Comments,Descript,Start,End,Impressões,Alcance,R$
Investimento_Mensal_Julho_2026_Graduação_Transferencia,https://www.facebook.com/ads/image/?d=AQKreUu9WVzdho41Nbklw4Fn9f4AxxxNzxlriNszSHpGBUzZ5rvYXN4OdcT0o8zJxY0apfTw3V70-mYt9r51n0_GkN2T0676Mm2uPZaEvhhK5GZpA-yVOjnjSeQ2g9YcmYzzPoGrKvTa1CW57ODm8wqI,https://www.facebook.com/645657920933290/posts/1448676863964721,289,1,2398,440,2,2,0,"Vai pedir transferência? 🤔
Na UniFacens, você conta com um desconto exclusivo no primeiro semestre e ainda pode estender esse benefício ao manter 75% de rendimento acadêmico nas disciplinas contratadas.*

Além disso, você estuda em uma instituição com ensino de excelência, infraestrutura de ponta e uma formação conectada ao mercado.

Acesse o link da bio e garanta a sua vaga!
*Consulte as condições.",3 de jul. de 2026,28 de jul. de 2026,76544,37217,145.35
Investimento_Mensal_Julho_2026_Graduação_Odontologia,https://www.facebook.com/ads/image/?d=AQLcrAnUli2nuTIPT6soxnugpvEqS7lkyv2M7_e-E4XarcynMIB86YCtUREM13CUe4HMvAUlAhS_nAF_ijeqnjbEIsbL80iB4WXLhRwqiSuzuVthSj-FyeLozaogQaH73xEpaQsewdG4di44naGe40Z_,https://www.facebook.com/645657920933290/posts/1448670847298656,262,1,3301,302,0,0,0,"A Odontologia vai muito além de cuidar dos sorrisos, é sobre saúde bucal! E existem diferentes possibilidades de atuação do profissional dessa área. 🦷

O ensino na UniFacens prepara especialistas com fundações técnico-científicas robustas e uma perspectiva humanitária, ética e consciente do seu papel, integrando times de diversas frentes. Aptos a implementar e inovar com tecnologias avançadas.

E aí, qual área mais chamou sua atenção? 🤔

Escolha uma forma de entrada na UniFacens e ingresse no segundo semestre de 2026. ✨",3 de jul. de 2026,28 de jul. de 2026,74963,34757,145.42
Investimento_Mensal_Julho_2026_Pós_Graduação_Alunos,https://scontent-bru2-1.cdninstagram.com/v/t51.71878-15/755170796_4165603970381377_2919288986112578897_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQUQuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_eui2=AeGByOvbJgnvvWsfgIabkUDNvqanijmQNv6-pqeKOZA2_lIhgNSIDSAGJ7KRyNSZNWiiVdVk3PuwOm356Go42tH0&_nc_ohc=nJDMdy-XeLMQ7kNvwHbgy-J&_nc_oc=AdrrutVcYGce8lq1VvrrNcfJABUM2ezKnXr8RNaqotV5jLJpL6LmtkGHJwreKMFZSJE&_nc_zt=23&_nc_ht=scontent-bru2-1.cdninstagram.com&edm=AIZKd-4EAAAA&_nc_gid=zlDAhheWxzZoN8K-fQEn1Q&_nc_tpa=Q5bMBQFpnISXIjDhbXTfZYknQted2B2EXsYAU7_R1GBJ6V1HrI8s7bH1Bctmf6p-oTn_3ah5VZm9fKs8&oh=00_AQABpsRK8vk7IlthR1a1z5KcVuI6xxAmyLGP09vUkKKg1A&oe=6A67EB51,https://www.facebook.com/131376810260475/posts/2519489148477920/,1207,8,5074,420,1,0,0,"O que faz uma pós-graduação ser realmente transformadora?

Para quem vive essa experiência na UniFacens, a resposta passa por diferentes caminhos: ampliar a visão estratégica, aprender com professores conectados ao mercado, construir networking, fortalecer o currículo e levar novos conhecimentos para os desafios reais da profissão.

Da gestão de pessoas aos processos industriais, da tomada de decisão às novas possibilidades na construção civil. Cada trajetória é única, mas todas têm algo em comum: o conhecimento que abre novas perspectivas para a carreira.

Dê o play e descubra, pela voz dos nossos alunos, o que torna as especializações e MBAs da UniFacens uma experiência que vai além da sala de aula.

E você: qual é o próximo passo que quer dar na sua carreira?",3 de jul. de 2026,28 de jul. de 2026,13996,10397,67.65
Graduação_2026_2_Concurso Bolsa_Cadastro_Interesse_Geral-Reel,https://scontent-bru2-1.xx.fbcdn.net/v/t45.1600-4/745747366_28235928309342886_1691189166730196137_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=d5bd00&_nc_eui2=AeGpfvP-z3NS61eCHpPFcD7U0HRNbzaZ0MfQdE1vNpnQxxmIafmB4RXGnaTsunmeCjTRJ_Nt7DkQOfwHgWTwbKAc&_nc_ohc=pedcAJU7mQEQ7kNvwH_zMOZ&_nc_oc=Adqi7FRBhuO9CX6QBffBbUkghK3T5HM4ULWIpQZwPp8rv_hHQd9LU1KFboUW8IDuiSI&_nc_zt=1&_nc_ht=scontent-bru2-1.xx&edm=AJcBmwoEAAAA&_nc_gid=Z7jShAP_XfEXSc11ZfJbww&_nc_tpa=Q5bMBQHLrgOiRStoYg9uW6Xm4yQUrgjlevre4VaalMcWtRO9_5FMPcDhZFPjqydY-xII4zPmzb-LUTir&oh=00_AQDao16BOwQOkl0TFLAsmyu4xK1aEj0dxbDIM1kzrizxcw&oe=6A694758,https://www.facebook.com/reel/1554649509590914/,31,2,117,25,0,0,0,"Garanta a sua vaga para o Vestibular + Concurso de Bolsas de até 100%! Cursos nas áreas de Arquitetura, Engenharia, Saúde e Tecnologia. Inscreva-se até 30/07. Prova dia 01/08. Começo das aulas no segundo semestre de 2026!",1 de jul. de 2026,1 de ago. de 2026,1862,1725,18.76
Graduação_2026_2_Concurso Bolsa_Cadastro_Lookalike_Reel-Geral,https://scontent-bru2-1.xx.fbcdn.net/v/t45.1600-4/745747366_28235928309342886_1691189166730196137_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=d5bd00&_nc_eui2=AeGpfvP-z3NS61eCHpPFcD7U0HRNbzaZ0MfQdE1vNpnQxxmIafmB4RXGnaTsunmeCjTRJ_Nt7DkQOfwHgWTwbKAc&_nc_ohc=pedcAJU7mQEQ7kNvwH_zMOZ&_nc_oc=Adqi7FRBhuO9CX6QBffBbUkghK3T5HM4ULWIpQZwPp8rv_hHQd9LU1KFboUW8IDuiSI&_nc_zt=1&_nc_ht=scontent-bru2-1.xx&edm=AJcBmwoEAAAA&_nc_gid=Z7jShAP_XfEXSc11ZfJbww&_nc_tpa=Q5bMBQHLrgOiRStoYg9uW6Xm4yQUrgjlevre4VaalMcWtRO9_5FMPcDhZFPjqydY-xII4zPmzb-LUTir&oh=00_AQDao16BOwQOkl0TFLAsmyu4xK1aEj0dxbDIM1kzrizxcw&oe=6A694758,https://www.facebook.com/reel/2354541904949320/,28,2,182,23,0,0,0,"Garanta a sua vaga para o Vestibular + Concurso de Bolsas de até 100%! Cursos nas áreas de Arquitetura, Engenharia, Saúde e Tecnologia. Inscreva-se até 30/07. Prova dia 01/08. Começo das aulas no segundo semestre de 2026!",1 de jul. de 2026,1 de ago. de 2026,1444,1260,28.68
Pós-Graduação_2026_2_Concurso_Conversão_Interesse_Reels-Mercado,https://scontent-bru2-1.xx.fbcdn.net/v/t45.1600-4/732888945_28080185874917131_34193350184751310_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=d5bd00&_nc_eui2=AeGThtkj60sNAeszrE2YgyjywGy2qGPYBZDAbLaoY9gFkMYmK0eswh_vslC0P3Zm1B6dKwc3WtWxZG8TQs0rkMEc&_nc_ohc=HbcGhyWuEGkQ7kNvwGytpCt&_nc_oc=Adqv5c1Umbr8GTKfJtCqwOelqLrLy7P9YSicJYI00C-Z6WOzIxNyvnIg9dOA8MIA5rY&_nc_zt=1&_nc_ht=scontent-bru2-1.xx&edm=AJcBmwoEAAAA&_nc_gid=Z7jShAP_XfEXSc11ZfJbww&_nc_tpa=Q5bMBQG-Q_HpszQqjwyZ-EXlSId0z9aZbC419U1uHMsNVPSl-3fFj3kJNjdOxOIiDZj7MFkMM8_emyZA&oh=00_AQDSyNegBLWuEZjgjs3qpQr2OjeECzWr1CCQ0lOGwL2Faw&oe=6A69183B,https://www.facebook.com/reel/1007467242162186/,38,2,133,36,0,0,0,O futuro do trabalho pede atualização. Inscreva-se no Concurso de Bolsas da Pós UniFacens e concorra a bolsas de até 100%.,6 de jul. de 2026,25 de jul. de 2026,1182,811,11.3
Pós-Graduação_2026_2_Concurso_Conversão_Lookalike_Reels-Mercado,https://scontent-bru2-1.xx.fbcdn.net/v/t45.1600-4/732888945_28080185874917131_34193350184751310_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=d5bd00&_nc_eui2=AeGThtkj60sNAeszrE2YgyjywGy2qGPYBZDAbLaoY9gFkMYmK0eswh_vslC0P3Zm1B6dKwc3WtWxZG8TQs0rkMEc&_nc_ohc=HbcGhyWuEGkQ7kNvwGytpCt&_nc_oc=Adqv5c1Umbr8GTKfJtCqwOelqLrLy7P9YSicJYI00C-Z6WOzIxNyvnIg9dOA8MIA5rY&_nc_zt=1&_nc_ht=scontent-bru2-1.xx&edm=AJcBmwoEAAAA&_nc_gid=Z7jShAP_XfEXSc11ZfJbww&_nc_tpa=Q5bMBQG-Q_HpszQqjwyZ-EXlSId0z9aZbC419U1uHMsNVPSl-3fFj3kJNjdOxOIiDZj7MFkMM8_emyZA&oh=00_AQDSyNegBLWuEZjgjs3qpQr2OjeECzWr1CCQ0lOGwL2Faw&oe=6A69183B,https://www.facebook.com/reel/1757462555701286/,31,1,104,28,0,0,0,O futuro do trabalho pede atualização. Inscreva-se no Concurso de Bolsas da Pós UniFacens e concorra a bolsas de até 100%.,6 de jul. de 2026,25 de jul. de 2026,1129,753,11.86
Graduação_2026_2_Concurso Bolsa_WhatsApp_Interesses_Card-Startup,https://www.facebook.com/ads/image/?d=AQLtsh_z2ZkQBZoc1YG2OeqU_Te0VgB60PHtMU_810TGcL2D0HjsGTWpV5EEu8KSr5YgVEz-JvRCYatAdU9b-DoJgSzNeoSUGY0zXjODxLcVp_u9YXMVxCCWf_ftKIIVfUO6Wl8kqs3h6BA3xCZ_FKuM,https://www.facebook.com/645657920933290/posts/1457613723071035,1,2,1,0,0,1,0,"No BRAIN da UniFacens, você encontra um ambiente que incentiva a inovação, o empreendedorismo e o desenvolvimento de soluções para desafios reais. Na graduação, o estudante participa de projetos, se conecta ao ecossistema de inovação e desenvolve competências valorizadas pelo mercado. Garanta a sua vaga no Vestibular + Concurso de Bolsas até 100% e ingresse no 2° semestre de 2026. Inscreva-se já!",13 de jul. de 2026,31 de jul. de 2026,755,631,13.05
Pós-Graduação_2026_2_Concurso_Cadastro_Interesse_Reels-Mercado,https://scontent-bru2-1.xx.fbcdn.net/v/t45.1600-4/732888945_28080185874917131_34193350184751310_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=d5bd00&_nc_eui2=AeGThtkj60sNAeszrE2YgyjywGy2qGPYBZDAbLaoY9gFkMYmK0eswh_vslC0P3Zm1B6dKwc3WtWxZG8TQs0rkMEc&_nc_ohc=HbcGhyWuEGkQ7kNvwGytpCt&_nc_oc=Adqv5c1Umbr8GTKfJtCqwOelqLrLy7P9YSicJYI00C-Z6WOzIxNyvnIg9dOA8MIA5rY&_nc_zt=1&_nc_ht=scontent-bru2-1.xx&edm=AJcBmwoEAAAA&_nc_gid=Z7jShAP_XfEXSc11ZfJbww&_nc_tpa=Q5bMBQG-Q_HpszQqjwyZ-EXlSId0z9aZbC419U1uHMsNVPSl-3fFj3kJNjdOxOIiDZj7MFkMM8_emyZA&oh=00_AQDSyNegBLWuEZjgjs3qpQr2OjeECzWr1CCQ0lOGwL2Faw&oe=6A69183B,https://www.facebook.com/reel/3789734374501684/,1,1,9,1,0,0,0,O futuro do trabalho pede atualização. Inscreva-se no Concurso de Bolsas da Pós UniFacens e concorra a bolsas de até 100%.,26 de jun. de 2026,25 de jul. de 2026,86,83,2.28
Graduação_2026_2_Concurso Bolsa_Cadastro_Listas_Anonimizadas_Reel-Geral,https://scontent-bru2-1.xx.fbcdn.net/v/t45.1600-4/745747366_28235928309342886_1691189166730196137_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=d5bd00&_nc_eui2=AeGpfvP-z3NS61eCHpPFcD7U0HRNbzaZ0MfQdE1vNpnQxxmIafmB4RXGnaTsunmeCjTRJ_Nt7DkQOfwHgWTwbKAc&_nc_ohc=pedcAJU7mQEQ7kNvwH_zMOZ&_nc_oc=Adqi7FRBhuO9CX6QBffBbUkghK3T5HM4ULWIpQZwPp8rv_hHQd9LU1KFboUW8IDuiSI&_nc_zt=1&_nc_ht=scontent-bru2-1.xx&edm=AJcBmwoEAAAA&_nc_gid=Z7jShAP_XfEXSc11ZfJbww&_nc_tpa=Q5bMBQHLrgOiRStoYg9uW6Xm4yQUrgjlevre4VaalMcWtRO9_5FMPcDhZFPjqydY-xII4zPmzb-LUTir&oh=00_AQDao16BOwQOkl0TFLAsmyu4xK1aEj0dxbDIM1kzrizxcw&oe=6A694758,https://www.facebook.com/reel/27794264500190490/,2,5,6,2,0,0,0,"Garanta a sua vaga para o Vestibular + Concurso de Bolsas de até 100%! Cursos nas áreas de Arquitetura, Engenharia, Saúde e Tecnologia. Inscreva-se até 30/07. Prova dia 01/08. Começo das aulas no segundo semestre de 2026!",1 de jul. de 2026,1 de ago. de 2026,25,25,0.88
